"AN","NOSEQ_TITUL","AGE_JUIN_1","SEXE","CODE_GEOGRAPHIQUE","MUNICIPALITE","MRC","REG_ADM","PERMIS_SAUF_APPRENTI","PERMIS_APPRENTI","IND_PERMISAPPRENTI_1","IND_PERMISAPPRENTI_2","IND_PERMISAPPRENTI_3","IND_PERMISAPPRENTI_5","IND_PERMISAPPRENTI_6A","IND_PERMISAPPRENTI_6R","IND_PROBATOIRE_1","IND_PROBATOIRE_2","IND_PROBATOIRE_3","IND_PROBATOIRE_4A","IND_PROBATOIRE_4B","IND_PROBATOIRE_4C","IND_PROBATOIRE_5","IND_PROBATOIRE_6A","IND_PROBATOIRE_6B","IND_PROBATOIRE_6C","IND_PROBATOIRE_6D","IND_PROBATOIRE_6E","IND_PROBATOIRE_8","IND_PERMISCONDUIRE_1","IND_PERMISCONDUIRE_2","IND_PERMISCONDUIRE_3","IND_PERMISCONDUIRE_4A","IND_PERMISCONDUIRE_4B","IND_PERMISCONDUIRE_4C","IND_PERMISCONDUIRE_5","IND_PERMISCONDUIRE_6A","IND_PERMISCONDUIRE_6B","IND_PERMISCONDUIRE_6C","IND_PERMISCONDUIRE_6D","IND_PERMISCONDUIRE_6E","IND_PERMISCONDUIRE_8","IND_RESTREINT_1","IND_RESTREINT_2","IND_RESTREINT_3","IND_RESTREINT_4A","IND_RESTREINT_4B","IND_RESTREINT_4C","IND_RESTREINT_5","IND_RESTREINT_6A","IND_RESTREINT_6B","IND_RESTREINT_6C","IND_RESTREINT_6D","IND_RESTREINT_6E","IND_RESTREINT_8","EXPER_1","EXPER_2","EXPER_3","EXPER_4A","EXPER_4B","EXPER_4C","EXPER_5","EXPER_6","EXPER_6E","EXPER_GLOBALE","MENTION1","MENTION2","MENTION3"
2017,"2017_1",36,"M","81017","Gatineau(81017)","Gatineau (81 )","Outaouais(07)","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","OUI","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON",,,,,,,96,,0,96,,,
2017,"2017_2",38,"F","81017","Gatineau(81017)","Gatineau (81 )","Outaouais(07)","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","OUI","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON",,,,,,,135,,0,135,,,
2017,"2017_3",46,"F","49070","Saint-Cyrille-de-Wendover(49070)","Drummond (49 )","Centre-du-Québec(17)","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","OUI","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON",,,,,,,91,,0,91,,,
2017,"2017_4",41,"F","56083","Saint-Jean-sur-Richelieu(56083)","Le Haut-Richelieu (56 )","Montérégie(16)","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","OUI","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON",,,,,,,79,,0,79,,,
2017,"2017_5",56,"F","66023","Montréal(66023)","Montréal (66 )","Montréal(06)","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","OUI","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON",,,,,,,325,,0,325,,,
2017,"2017_6",33,"M","23027","Québec(23027)","Québec (23 )","Capitale-Nationale(03)","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","OUI","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON",,,,,,,22,,0,22,,,
2017,"2017_7",41,"F","86042","Rouyn-Noranda(86042)","Rouyn-Noranda (86 )","Abitibi-Témiscamingue(08)","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","OUI","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON",,,,,,,177,,0,177,,,
2017,"2017_8",62,"M","66023","Montréal(66023)","Montréal (66 )","Montréal(06)","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","OUI","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON",,,,,,,291,,0,291,,,
2017,"2017_9",34,"F","23027","Québec(23027)","Québec (23 )","Capitale-Nationale(03)","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","NON","NON","NON","OUI","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON",,,,,,,176,,0,176,,,
2017,"2017_10",38,"M","66023","Montréal(66023)","Montréal (66 )","Montréal(06)","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","OUI","OUI","OUI","OUI","OUI","OUI","OUI","NON","NON","NON","OUI","NON","OUI","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON","NON",9,9,9,9,9,9,220,,0,220,,,
